Section,Field,Content,Link,Status
Footer,WhatsApp label,WhatsApp,,
Footer,WhatsApp link,,https://wa.me/59990000000,PLACEHOLDER + INCONSISTENT
Footer,Instagram label,Instagram,,
Footer,Instagram link,,Currently points to WhatsApp,WRONG LINK
Footer,Facebook label,Facebook,,
Footer,Facebook link,,Currently points to WhatsApp,WRONG LINK
Footer,Google Maps label,Google Maps,,
Footer,Google Maps link,,Currently points to WhatsApp,WRONG LINK
Footer,Booking.com label,Booking.com,,
Footer,Booking.com link,,Currently points to WhatsApp,WRONG LINK
Footer,View rooms label,View rooms,,
Footer,View rooms link,,#rooms (scroll to section),FIXED
Footer,Location label,Location,,
Footer,Location link,,#location (scroll to section),FIXED
Footer,Copyright,© 2026 The Pier Beach Inn & Suites. All rights reserved.,,
Footer,Credit,Website designed by I.O.,,

REQUIRED IMAGES,,,,,
Image 1,Hero background photo,Main banner (top of homepage),1920x1080px landscape,,NEEDED
Image 2,About Us photo,About Us section,1200x800px landscape,,NEEDED
Images 3-9,Room 1 photos - Deluxe Double Room (7 photos),"Rooms section card 1 + lightbox gallery",1000x700px landscape,,NEEDED
Images 10-16,Room 2 photos - Deluxe Double or Twin Room (7 photos),"Rooms section card 2 + lightbox gallery",1000x700px landscape,,NEEDED
Images 17-23,Room 3 photos - Deluxe Ocean View Room (7 photos),"Rooms section card 3 + lightbox gallery",1000x700px landscape,,NEEDED
Images 24-30,Room 4 photos - Deluxe King Studio (7 photos),"Rooms section card 4 + lightbox gallery",1000x700px landscape,,NEEDED
Image 31,Gallery photo 1,Gallery section,900x600px landscape,,NEEDED
Image 32,Gallery photo 2,Gallery section,900x600px landscape,,NEEDED
Image 33,Gallery photo 3,Gallery section,900x600px landscape,,NEEDED
Image 34,Gallery photo 4,Gallery section,900x600px landscape,,NEEDED
Image 35,Gallery photo 5,Gallery section,900x600px landscape,,NEEDED
Image 36,Gallery photo 6,Gallery section,900x600px landscape,,NEEDED
Image 37,Location map screenshot,Location section background,1400x800px landscape,,NEEDED

HOW TO SEND PHOTOS,,,,,
Step 1,Go to https://wetransfer.com (free no account needed),,,,
Step 2,Click "Send up to 2GB free",,,,
Step 3,Click "Add your files" and select all your photos,,,,
Step 4,Name each photo file clearly before uploading (see below),,,,
Filename example,hero-background.jpg,,,,
Filename example,about-us.jpg,,,,
Filename example,room1-01.jpg through room1-07.jpg (7 photos),,,,
Filename example,room2-01.jpg through room2-07.jpg (7 photos),,,,
Filename example,room3-01.jpg through room3-07.jpg (7 photos),,,,
Filename example,room4-01.jpg through room4-07.jpg (7 photos),,,,
Filename example,gallery1.jpg through gallery6.jpg,,,,
Filename example,location-map.jpg,,,,
Step 5,Enter your email and recipient email (or copy download link),,,,
Step 6,Click "Transfer" and share the download link with us,,,,
Note,Send each photo as a SEPARATE file (not in a ZIP or folder),,,,
Note,37 photos total - if more than 2GB split into multiple transfers (e.g. one per room type),,,,
Note,Room photos: at least 7 per room type (bed bathroom view terrace amenities exterior detail),,,,
Note,Photos should be high-resolution minimum 1200px wide,,,,
Note,Format: JPG or PNG,,,,
Note,Landscape orientation preferred,,,,
